AOT,CLC,AREA,NCELLS,PER
*,38,810000.000000,81,-0.00%
*,35,1410000.000000,141,-0.00%
*,8,1930000.000000,193,-0.00%
*,4,3530000.000000,353,-0.00%
*,10,4140000.000000,414,-0.00%
*,37,6220000.000000,622,-0.00%
*,42,8450000.000000,845,-0.00%
*,9,9100000.000000,910,-0.00%
*,19,12510000.000000,1251,-0.00%
*,17,13170000.000000,1317,-0.00%
*,33,15090000.000000,1509,-0.00%
*,5,17010000.000000,1701,-0.00%
0,22,27750000.000000,2775,-0.00%
*,7,28650000.000000,2865,-0.00%
*,40,43640000.000000,4364,-0.00%
*,6,45340000.000000,4534,-0.00%
*,11,54270000.000000,5427,-0.00%
0,38,60470000.000000,6047,-0.00%
*,3,70640000.000000,7064,-0.00%
*,34,73540000.000000,7354,-0.00%
*,1,109960000.000000,10996,-0.00%
*,13,132810000.000000,13281,-0.00%
*,16,139150000.000000,13915,-0.00%
*,25,152190000.000000,15219,-0.00%
*,30,164940000.000000,16494,-0.00%
*,15,168610000.000000,16861,-0.00%
0,14,223500000.000000,22350,-0.00%
*,29,248730000.000000,24873,-0.00%
*,39,256550000.000000,25655,-0.00%
0,5,267650000.000000,26765,-0.00%
0,9,292340000.000000,29234,-0.00%
0,8,330040000.000000,33004,-0.00%
1,48,404710000.000000,40471,-0.00%
*,20,420440000.000000,42044,-0.00%
0,33,422880000.000000,42288,-0.00%
0,37,432020000.000000,43202,-0.00%
0,42,440460000.000000,44046,-0.00%
*,2,442160000.000000,44216,-0.00%
*,41,494340000.000000,49434,-0.00%
0,19,498650000.000000,49865,-0.00%
*,12,500860000.000000,50086,-0.00%
0,4,556200000.000000,55620,-0.00%
*,26,579830000.000000,57983,-0.00%
0,6,667020000.000000,66702,-0.01%
1,38,677640000.000000,67764,-0.01%
*,18,833050000.000000,83305,-0.01%
0,1,848720000.000000,84872,-0.01%
1,8,921760000.000000,92176,-0.01%
1,5,942190000.000000,94219,-0.01%
0,10,967540000.000000,96754,-0.01%
*,28,1005030000.000000,100503,-0.01%
*,36,1027170000.000000,102717,-0.01%
*,24,1073100000.000000,107310,-0.01%
*,21,1308510000.000000,130851,-0.01%
0,43,1432680000.000000,143268,-0.01%
0,7,1543640000.000000,154364,-0.01%
1,9,1708740000.000000,170874,-0.01%
1,33,1831850000.000000,183185,-0.01%
1,34,2085130000.000000,208513,-0.02%
0,39,2306580000.000000,230658,-0.02%
1,10,2334280000.000000,233428,-0.02%
1,43,2389530000.000000,238953,-0.02%
1,6,2807840000.000000,280784,-0.02%
0,15,2921990000.000000,292199,-0.02%
0,30,2930450000.000000,293045,-0.02%
0,35,3184840000.000000,318484,-0.02%
*,23,3320580000.000000,332058,-0.03%
0,11,3434960000.000000,343496,-0.03%
0,28,3483230000.000000,348323,-0.03%
1,4,3586530000.000000,358653,-0.03%
0,40,4198260000.000000,419826,-0.03%
0,17,4288260000.000000,428826,-0.03%
1,30,4542370000.000000,454237,-0.03%
*,31,4629500000.000000,462950,-0.04%
1,19,5073650000.000000,507365,-0.04%
0,3,5218390000.000000,521839,-0.04%
1,37,5427250000.000000,542725,-0.04%
*,27,5961700000.000000,596170,-0.05%
1,42,6071430000.000000,607143,-0.05%
1,7,6632140000.000000,663214,-0.05%
1,1,7048310000.000000,704831,-0.05%
0,16,7457770000.000000,745777,-0.06%
1,14,7993870000.000000,799387,-0.06%
1,40,9295370000.000000,929537,-0.07%
0,13,9450510000.000000,945051,-0.07%
1,11,9618130000.000000,961813,-0.07%
1,39,9621000000.000000,962100,-0.07%
1,35,10586020000.000000,1058602,-0.08%
1,36,13036920000.000000,1303692,-0.10%
0,34,13388530000.000000,1338853,-0.10%
*,32,15108630000.000000,1510863,-0.12%
1,3,26813090000.000000,2681309,-0.21%
0,2,29248600000.000000,2924860,-0.22%
1,31,30299950000.000000,3029995,-0.23%
1,22,33092490000.000000,3309249,-0.25%
1,16,35445840000.000000,3544584,-0.27%
1,15,38030420000.000000,3803042,-0.29%
1,27,39433290000.000000,3943329,-0.30%
0,20,46107190000.000000,4610719,-0.35%
1,17,48172320000.000000,4817232,-0.37%
0,31,54597340000.000000,5459734,-0.42%
1,41,56246070000.000000,5624607,-0.43%
0,26,68534140000.000000,6853414,-0.53%
0,41,72900030000.000000,7290003,-0.56%
0,21,75767810000.000000,7576781,-0.58%
1,13,99850670000.000000,9985067,-0.77%
0,36,101600640000.000000,10160064,-0.78%
1,32,103630000000.000000,10363000,-0.79%
1,28,104416800000.000000,10441680,-0.80%
0,32,117206150000.000000,11720615,-0.90%
0,29,120071310000.000000,12007131,-0.92%
0,18,127017920000.000000,12701792,-0.97%
0,27,129386790000.000000,12938679,-0.99%
1,2,141161580000.000000,14116158,-1.08%
0,44,143223560000.000000,14322356,-1.10%
1,26,146457720000.000000,14645772,-1.12%
0,25,153075430000.000000,15307543,-1.17%
1,25,157425800000.000000,15742580,-1.21%
1,29,176893070000.000000,17689307,-1.36%
0,23,177769480000.000000,17776948,-1.36%
0,12,178952250000.000000,17895225,-1.37%
1,21,193070070000.000000,19307007,-1.48%
1,20,196429530000.000000,19642953,-1.51%
1,18,302759080000.000000,30275908,-2.32%
1,24,401732190000.000000,40173219,-3.08%
1,23,405689950000.000000,40568995,-3.11%
0,24,414630310000.000000,41463031,-3.18%
