AOT,CLC,AREA,NCELLS,PER
*,40,99969032.833086,1,0.00%
3,43,99969032.833086,1,0.00%
2,34,99969032.833086,1,0.00%
2,33,99969032.833086,1,0.00%
0,14,99969032.833086,1,0.00%
*,13,99969032.833086,1,0.00%
3,5,99969032.833086,1,0.00%
3,8,99969032.833086,1,0.00%
*,29,99969032.833086,1,0.00%
2,19,199938065.666172,2,0.00%
3,10,199938065.666172,2,0.00%
0,28,199938065.666172,2,0.00%
2,42,199938065.666172,2,0.00%
*,16,199938065.666172,2,0.00%
*,15,199938065.666172,2,0.00%
3,9,199938065.666172,2,0.00%
2,9,199938065.666172,2,0.00%
*,20,199938065.666172,2,0.00%
1,38,299907098.499258,3,0.00%
*,39,299907098.499258,3,0.00%
2,30,299907098.499258,3,0.00%
3,38,299907098.499258,3,0.00%
2,38,299907098.499258,3,0.00%
0,37,299907098.499258,3,0.00%
*,26,299907098.499258,3,0.00%
2,10,299907098.499258,3,0.00%
2,7,299907098.499258,3,0.00%
*,25,399876131.332344,4,0.00%
*,12,399876131.332344,4,0.00%
1,5,399876131.332344,4,0.00%
0,6,399876131.332344,4,0.00%
0,33,399876131.332344,4,0.00%
1,48,399876131.332344,4,0.00%
0,8,499845164.165430,5,0.00%
2,14,499845164.165430,5,0.00%
*,2,499845164.165430,5,0.00%
0,42,499845164.165430,5,0.00%
3,*,499845164.165430,5,0.00%
2,4,499845164.165430,5,0.00%
3,4,499845164.165430,5,0.00%
2,35,599814196.998516,6,0.00%
3,6,599814196.998516,6,0.00%
0,9,699783229.831602,7,0.00%
2,11,699783229.831602,7,0.00%
*,28,699783229.831602,7,0.00%
2,6,699783229.831602,7,0.00%
0,5,699783229.831602,7,0.00%
*,24,699783229.831602,7,0.00%
0,19,699783229.831602,7,0.00%
*,41,699783229.831602,7,0.00%
3,35,799752262.664688,8,0.00%
1,8,799752262.664688,8,0.00%
0,1,899721295.497774,9,0.00%
2,37,899721295.497774,9,0.00%
2,40,899721295.497774,9,0.00%
1,33,999690328.330860,10,0.00%
0,4,999690328.330860,10,0.00%
3,37,999690328.330860,10,0.00%
3,33,999690328.330860,10,0.00%
*,18,999690328.330860,10,0.00%
0,10,999690328.330860,10,0.00%
*,36,1099659361.163946,11,0.00%
3,31,1099659361.163946,11,0.00%
2,1,1199628393.997032,12,0.00%
3,11,1199628393.997032,12,0.00%
2,27,1199628393.997032,12,0.00%
3,7,1199628393.997032,12,0.00%
1,9,1199628393.997032,12,0.00%
3,30,1399566459.663204,14,0.00%
1,6,1399566459.663204,14,0.00%
1,43,1399566459.663204,14,0.00%
0,15,1499535492.496290,15,0.00%
2,31,1499535492.496290,15,0.00%
3,42,1599504525.329377,16,0.00%
*,21,1599504525.329377,16,0.00%
3,40,1599504525.329377,16,0.00%
1,19,1699473558.162463,17,0.01%
0,7,1699473558.162463,17,0.01%
3,19,1699473558.162463,17,0.01%
1,1,1699473558.162463,17,0.01%
1,30,1699473558.162463,17,0.01%
0,43,1799442590.995549,18,0.01%
1,34,1799442590.995549,18,0.01%
3,27,1799442590.995549,18,0.01%
1,10,1899411623.828635,19,0.01%
1,36,2099349689.494807,21,0.01%
2,3,2399256787.994065,24,0.01%
2,15,2799132919.326409,28,0.01%
1,37,2999070984.992581,30,0.01%
1,4,3199009050.658753,32,0.01%
1,14,3199009050.658753,32,0.01%
*,23,3398947116.324925,34,0.01%
2,16,3698854214.824183,37,0.01%
2,22,3998761313.323441,40,0.01%
1,42,3998761313.323441,40,0.01%
0,35,4198699378.989613,42,0.01%
3,14,4198699378.989613,42,0.01%
0,39,4298668411.822700,43,0.01%
3,1,4298668411.822700,43,0.01%
*,31,4298668411.822700,43,0.01%
0,30,4498606477.488872,45,0.01%
2,41,4698544543.155044,47,0.01%
